,text,name,favourite_count,retweet_count,created_at
99,"RT @SquadArmypy: [⚠️] COMUNICADO 2

Un ""Periodista"" desafortunadamente de nuestro país (@mikeotr),según el dio su ""opinión"" pero se encargó…",ᡕᠵ᠊ᡃ່࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘𐡏 ♡~,0,1531,2021-06-17 23:36:46
100,"@cutehobix_ EXIGIMOS UNA DISCULPA!!

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExpression #ApologizeABCCOLOR",⁷𝑀𝑖𝑎♥︎🚲,0,0,2021-06-17 23:34:47
101,"RT @jeonkimBangtan2: !!EXIGIMOS UNA DISCULPA!! 
 la xenofobia no es humor ni opinión !!! EXIGIMOS UNA DISCULPA!!!!! 

#ElRacismoNoEsLiberta…",💜JK💜 🇲🇽,0,122,2021-06-17 23:34:42
102,"RT @Wxntxr_Bear_: No tengo 13 ni estoy ""enamorada"" de ellos, los admiro por su talento y por la manera en la que motivan el amor propio, ex…",♡BO-ARMY♡,0,1456,2021-06-17 23:34:24
103,Denuncien sus cuentas en redes sociales! #DisculpateABCCOLOR,Cemara,0,0,2021-06-17 23:32:05
104,"Porque no denuncian sus cuentas en las redes sociales masivamente y su sitio web de abc... Ademas que son un medio corrupto, trabajan de apoyo publicitario a los genocidas en paraguay 
 #DisculpateABCCOLOR",Cemara,0,0,2021-06-17 23:31:45
105,RT @kate1jkbebe: @mikeotr Señor ya debe tener 40 AÑOS! Deje de andar actuando como un  mocoso de 11 años usted ya esta grande como para and…,♡Heidi♡,0,6,2021-06-17 23:31:25
106,"RT @minpark_taekook: Si cree que ARMY dejará esto pasar, esta muy equivocado, basta de burlas, su xenofobia no lo puede hacer ver más estúp…",Marcela Cano,0,43,2021-06-17 23:30:12
107,"RT @dooly_king: ""El prejuicio es hijo de la ignorancia."" — William Hazlitt

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",Lala_Kookᴮᴱ🧈💛,0,1863,2021-06-17 23:29:33
108,"RT @dooly_king: ""El prejuicio es hijo de la ignorancia."" — William Hazlitt

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibert…",ᵇᵉ𝑱𝒂𝒄𝒌(Hiatus)⁷,0,1863,2021-06-17 23:28:31
109,"RT @luisanna_arias: @mikeotr Y no que muy Digno y transparente 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
#disculpateMikeservero 
#Discu…",Snicker,0,5,2021-06-17 23:28:16
